original_path,original_name,new_name,产品分类,产品系列,产品编码,核心规格,包装类型,日期,版本,渠道,状态,设计图号,客户,备注,file_hash,duplicate_group,thumbnail_path
/Users/zhanghan/Desktop/涂覆包装-设计稿/1-11刀模图/涂附-V字卷-145X75_145-20260123-V1.pdf,涂附-V字卷-145X75_145-20260123-V1.pdf,涂附-V字卷-145X75_145-20260123-V1.pdf,涂附,V字卷,V字卷,145X75_145,刀模图,20260123,V1,其他,进行中,,,,06790771ddcd4337c718ae91dcafea08370dbed61253bed428041d7d1b0d577b,,thumbnails/9db37146364ed9f4e1556e7b6e8a2661.jpg
/Users/zhanghan/Desktop/涂覆包装-设计稿/1-11刀模图/涂附-V字卷-135X135_75-20260128-V1.pdf,涂附-V字卷-135X135_75-20260128-V1.pdf,涂附-V字卷-135X135_75-20260128-V1.pdf,涂附,V字卷,V字卷,135X135_75,刀模图,20260128,V1,其他,进行中,,,,2093a0c2e6c4489d67e1e1cfdd5d70bf136f060132423d7d566e70a709e2ba48,,thumbnails/4e1f6553d1c19a2394d8e64bb72bb952.jpg
/Users/zhanghan/Desktop/涂覆包装-设计稿/1-11刀模图/涂附-刀模图-155X155_110-20250714-V1.pdf,涂附-刀模图-155X155_110-20250714-V1.pdf,涂附-刀模图-155X155_110-20250714-V1.pdf,涂附,刀模图,待补充,155X155_110,刀模图,20250714,V1,其他,进行中,,,,ba29f43c7c6170bf93bbd87b97e372611be56d6752bc12c10b5715a8204df374,,thumbnails/b7f58510b1f02859a6d90ce301f21241.jpg
/Users/zhanghan/Desktop/涂覆包装-设计稿/1-11刀模图/涂附-V字卷-115X12M-20250714-V1.pdf,涂附-V字卷-115X12M-20250714-V1.pdf,涂附-V字卷-115X12M-20250714-V1.pdf,涂附,V字卷,V字卷,115X12M,刀模图,20250714,V1,其他,进行中,,,,6f8dbf013984db49b0c0600fdb59f6c1b99d077fd6b2332fa01c4bbe0601de0d,,thumbnails/6d468eb6d8db8fa2c57851a6d27ecff0.jpg
/Users/zhanghan/Desktop/涂覆包装-设计稿/1-11刀模图/涂附-BS03-210X140_04X10-10PCS-20250616-V1.pdf,涂附-BS03-210X140_04X10-10PCS-20250616-V1.pdf,涂附-BS03-210X140_04X10-10PCS-20250616-V1.pdf,涂附,BS03,BS03,210X140_04X10,刀模图,20250616,V1,其他,进行中,,,,cbdaf0c2396712ae81ffd0058b76ee9c072a814984239964cba82e2e26388fcd,,thumbnails/346b746247bb1b1d508570e3ee72b071.jpg
/Users/zhanghan/Desktop/涂覆包装-设计稿/1-11刀模图/涂附-拉绒片-待补充-20251210-V1.pdf,涂附-拉绒片-待补充-20251210-V1.pdf,涂附-拉绒片-待补充-20251210-V1.pdf,涂附,拉绒片,拉绒片,待补充,刀模图,20251210,V1,其他,进行中,,,,fb73a3aabd6f0b2770469428c9f0b9e0a74a6fcdf2d9a3e4902303486a46fd0a,,thumbnails/76d15ae7f93c7fe2f36cca327d580c69.jpg
"/Users/zhanghan/Desktop/涂覆包装-设计稿/1-1涂附-拉绒片-彩盒/涂附-拉绒片-B66-150MM,15H-50PCS-20241022-V1.pdf","涂附-拉绒片-B66-150MM,15H-50PCS-20241022-V1.pdf","涂附-拉绒片-B66-150MM,15H-50PCS-20241022-V1.pdf",涂附,拉绒片,拉绒片,15H,彩盒,20241022,V1,独立站,进行中,,,,5de038d14d4c3da8ffc09d3d0dcc4cb8122801520bce8218cd8f21dd37f944a4,,thumbnails/46372ff154e5f00da58633492bf3f1be.jpg
"/Users/zhanghan/Desktop/涂覆包装-设计稿/1-1涂附-拉绒片-彩盒/涂附-拉绒片-B15-225MM,9H-25PCS-20250715-V1.pdf","涂附-拉绒片-B15-225MM,9H-25PCS-20250715-V1.pdf","涂附-拉绒片-B15-225MM,9H-25PCS-20250715-V1.pdf",涂附,B15,B15,225_9H,彩盒,20250715,V1,其他,进行中,,,,b947602de3527ff5b978f41a7a499e35ffc56b2251c603618e9ed10304a38128,,thumbnails/86a57da8409703591b4d2e6a85cd0723.jpg
"/Users/zhanghan/Desktop/涂覆包装-设计稿/1-1涂附-拉绒片-彩盒/涂附-拉绒片-B25-125MM,8H-50PCS-20250715-V1.pdf","涂附-拉绒片-B25-125MM,8H-50PCS-20250715-V1.pdf","涂附-拉绒片-B25-125MM,8H-50PCS-20250715-V1.pdf",涂附,B25,B25,125_8H,彩盒,20250715,V1,其他,进行中,,,,356edefb6ab93f22c691383de2f243b89ebb60897fc18f1c66d36a46e02e31fd,,thumbnails/d24b202a3ef5ac5b474376e00a27483a.jpg
"/Users/zhanghan/Desktop/涂覆包装-设计稿/1-1涂附-拉绒片-彩盒/涂附-拉绒片-B25-150MM,15H-50PCS-20250715-V1.pdf","涂附-拉绒片-B25-150MM,15H-50PCS-20250715-V1.pdf","涂附-拉绒片-B25-150MM,15H-50PCS-20250715-V1.pdf",涂附,B25,B25,150_15H,彩盒,20250715,V1,其他,进行中,,,,115cd9380be9ffa6ebf0ef00f659764e064c253e19010bf3f8c1abceaeb7486f,,thumbnails/a7a9b081c0432482f83d4b23c6c4d64c.jpg
